Month,Product,Category,Region,Units_Sold,Unit_Price,Discount_Pct,Net_Price,Revenue,Profit_Margin_Pct,Profit,Month_Num,Quarter
2024-01,Winter Jacket,Apparel,Central,102,4483.68,15,3811.13,388735.3,28.79,111916.89,1,Q1
2024-01,Running Shoes,Apparel,North,201,3403.54,0,3403.54,684110.82,20.2,138190.39,1,Q1
2024-01,Running Shoes,Apparel,South,153,3279.76,10,2951.79,451623.27,35.21,159016.55,1,Q1
2024-01,Running Shoes,Apparel,East,164,3301.84,5,3136.74,514426.12,22.44,115437.22,1,Q1
2024-01,Running Shoes,Apparel,West,155,3256.14,15,2767.72,428996.89,24.46,104932.64,1,Q1
2024-01,Running Shoes,Apparel,Central,159,3352.58,0,3352.58,533060.34,37.44,199577.79,1,Q1
2024-01,Yoga Pants,Apparel,North,263,1469.23,5,1395.77,367088.05,24.02,88174.55,1,Q1
2024-01,Yoga Pants,Apparel,South,195,1443.46,5,1371.29,267401.61,28.05,75006.15,1,Q1
2024-01,Yoga Pants,Apparel,East,209,1472.46,15,1251.59,261581.68,22.79,59614.46,1,Q1
2024-01,Yoga Pants,Apparel,West,196,1497.74,20,1198.19,234844.88,22.84,53638.57,1,Q1
2024-01,Yoga Pants,Apparel,Central,208,1530.37,0,1530.37,318317.67,32.56,103644.23,1,Q1
2024-01,Cap,Apparel,North,277,605.34,5,575.07,159295.25,28.72,45749.6,1,Q1
2024-01,Cap,Apparel,South,229,615.07,0,615.07,140850.5,21.73,30606.81,1,Q1
2024-01,Cap,Apparel,East,260,603.36,10,543.02,141185.21,18.33,25879.25,1,Q1
2024-01,Cap,Apparel,West,275,585.89,5,556.6,153064.72,21.49,32893.61,1,Q1
2024-01,Cap,Apparel,Central,261,593.57,15,504.54,131684.03,20.75,27324.44,1,Q1
2024-01,Formal Shirt,Apparel,North,120,1840.28,15,1564.24,187708.45,35.55,66730.35,1,Q1
2024-01,Formal Shirt,Apparel,South,106,1923.3,10,1730.97,183483.28,29.1,53393.63,1,Q1
2024-01,Formal Shirt,Apparel,East,134,1859.78,0,1859.78,249210.81,35.94,89566.37,1,Q1
2024-01,Formal Shirt,Apparel,West,135,1919.22,0,1919.22,259094.8,24.98,64721.88,1,Q1
2024-01,Formal Shirt,Apparel,Central,116,1959.33,15,1665.43,193189.84,33.6,64911.79,1,Q1
2024-01,Air Fryer,Home & Kitchen,North,83,6766.15,0,6766.15,561590.59,35.97,202004.14,1,Q1
2024-01,Air Fryer,Home & Kitchen,South,74,6724.19,0,6724.19,497590.03,31.27,155596.4,1,Q1
2024-01,Air Fryer,Home & Kitchen,East,71,6809.08,5,6468.63,459272.42,31.84,146232.34,1,Q1
2024-01,Air Fryer,Home & Kitchen,West,79,6844.61,10,6160.15,486651.98,22.74,110664.66,1,Q1
2024-01,Air Fryer,Home & Kitchen,Central,65,7137.02,5,6780.16,440710.71,34.98,154160.61,1,Q1
2024-01,Coffee Maker,Home & Kitchen,North,98,4322.49,0,4322.49,423604.28,25.35,107383.68,1,Q1
2024-01,Coffee Maker,Home & Kitchen,South,79,4210.95,20,3368.76,266132.22,25.86,68821.79,1,Q1
2024-01,Coffee Maker,Home & Kitchen,East,110,4344.1,10,3909.69,430066.02,28.05,120633.52,1,Q1
2024-01,Coffee Maker,Home & Kitchen,West,92,4296.43,0,4296.43,395271.26,32.45,128265.52,1,Q1
2024-01,Coffee Maker,Home & Kitchen,Central,75,4135.4,5,3928.63,294647.45,21.54,63467.06,1,Q1
2024-01,Blender,Home & Kitchen,North,128,2900.64,15,2465.55,315590.03,25.4,80159.87,1,Q1
2024-01,Blender,Home & Kitchen,South,87,2894.91,5,2750.16,239264.24,37.33,89317.34,1,Q1
2024-01,Blender,Home & Kitchen,East,135,2878.05,0,2878.05,388536.19,25.7,99853.8,1,Q1
2024-01,Blender,Home & Kitchen,West,119,2758.01,0,2758.01,328202.62,29.14,95638.24,1,Q1
2024-01,Blender,Home & Kitchen,Central,109,2842.89,5,2700.75,294381.78,19.94,58699.73,1,Q1
2024-01,Non-stick Pan Set,Home & Kitchen,North,141,1973.45,0,1973.45,278256.31,28.37,78941.32,1,Q1
2024-01,Non-stick Pan Set,Home & Kitchen,South,138,1935.58,10,1742.02,240398.73,32.05,77047.79,1,Q1
2024-01,Non-stick Pan Set,Home & Kitchen,East,137,1867.64,10,1680.88,230280.32,34.2,78755.87,1,Q1
2024-01,Non-stick Pan Set,Home & Kitchen,West,144,1961.78,5,1863.69,268371.44,28.03,75224.51,1,Q1
2024-01,Non-stick Pan Set,Home & Kitchen,Central,127,1921.78,10,1729.6,219659.74,33.92,74508.58,1,Q1
2024-01,Water Bottle,Home & Kitchen,North,337,689.94,0,689.94,232510.01,19.88,46222.99,1,Q1
2024-01,Water Bottle,Home & Kitchen,South,280,673.05,5,639.4,179031.27,28.85,51650.52,1,Q1
2024-01,Water Bottle,Home & Kitchen,East,296,704.08,0,704.08,208407.5,18.75,39076.41,1,Q1
2024-01,Water Bottle,Home & Kitchen,West,315,691.18,0,691.18,217722.29,28.44,61920.22,1,Q1
2024-01,Water Bottle,Home & Kitchen,Central,280,683.11,5,648.95,181706.92,19.71,35814.43,1,Q1
2024-01,Notebook Pack,Books & Stationery,North,379,500.25,5,475.24,180115.62,30.75,55385.55,1,Q1
2024-01,Notebook Pack,Books & Stationery,South,424,518.0,5,492.1,208648.79,24.46,51035.49,1,Q1
2024-01,Notebook Pack,Books & Stationery,East,500,489.85,5,465.36,232679.52,19.57,45535.38,1,Q1
2024-01,Notebook Pack,Books & Stationery,West,358,517.47,10,465.72,166728.49,31.92,53219.73,1,Q1
2024-01,Notebook Pack,Books & Stationery,Central,365,485.96,0,485.96,177374.64,23.0,40796.17,1,Q1
2024-01,Fountain Pen,Books & Stationery,North,164,914.43,10,822.99,134970.42,23.6,31853.02,1,Q1
2024-01,Fountain Pen,Books & Stationery,South,166,916.11,5,870.3,144470.48,30.23,43673.43,1,Q1
2024-01,Fountain Pen,Books & Stationery,East,165,880.86,0,880.86,145341.37,33.16,48195.2,1,Q1
2024-01,Fountain Pen,Books & Stationery,West,131,871.39,0,871.39,114151.82,18.81,21471.96,1,Q1
2024-01,Fountain Pen,Books & Stationery,Central,153,913.65,5,867.96,132798.6,19.96,26506.6,1,Q1
2024-01,Planner 2025,Books & Stationery,North,253,697.52,0,697.52,176471.68,26.68,47082.64,1,Q1
2024-01,Planner 2025,Books & Stationery,South,222,705.48,5,670.2,148785.38,18.91,28135.32,1,Q1
2024-01,Planner 2025,Books & Stationery,East,256,706.04,5,670.74,171708.46,35.13,60321.18,1,Q1
2024-01,Planner 2025,Books & Stationery,West,253,680.15,0,680.15,172078.28,30.85,53086.15,1,Q1
2024-01,Planner 2025,Books & Stationery,Central,186,703.8,15,598.23,111270.24,29.51,32835.85,1,Q1
2024-01,Sketch Set,Books & Stationery,North,122,1212.74,5,1152.11,140557.05,28.91,40635.04,1,Q1
2024-01,Sketch Set,Books & Stationery,South,130,1188.07,20,950.46,123559.8,36.11,44617.44,1,Q1
2024-01,Sketch Set,Books & Stationery,East,120,1157.69,0,1157.69,138923.18,18.36,25506.3,1,Q1
2024-01,Sketch Set,Books & Stationery,West,106,1216.55,0,1216.55,128954.73,24.38,31439.16,1,Q1
2024-01,Sketch Set,Books & Stationery,Central,120,1153.27,10,1037.95,124553.4,23.64,29444.42,1,Q1
2024-01,Resistance Bands,Sports,North,242,811.58,5,771.0,186581.19,35.55,66329.61,1,Q1
2024-01,Resistance Bands,Sports,South,265,818.4,0,818.4,216875.6,21.55,46736.69,1,Q1
2024-01,Resistance Bands,Sports,East,308,818.61,20,654.89,201706.21,26.25,52947.88,1,Q1
2024-01,Resistance Bands,Sports,West,250,816.67,0,816.67,204167.08,36.62,74765.98,1,Q1
2024-01,Resistance Bands,Sports,Central,260,794.46,10,715.02,185903.94,33.09,61515.61,1,Q1
2024-01,Yoga Mat,Sports,North,174,1547.27,5,1469.91,255764.42,34.53,88315.45,1,Q1
2024-01,Yoga Mat,Sports,South,169,1546.43,0,1546.43,261346.86,18.22,47617.4,1,Q1
2024-01,Yoga Mat,Sports,East,233,1449.99,0,1449.99,337846.99,37.0,125003.39,1,Q1
2024-01,Yoga Mat,Sports,West,214,1507.81,5,1432.42,306537.1,26.97,82673.06,1,Q1
2024-01,Yoga Mat,Sports,Central,159,1478.45,10,1330.61,211566.69,33.05,69922.79,1,Q1
2024-01,Dumbbell Set,Sports,North,82,4091.65,0,4091.65,335515.68,27.89,93575.32,1,Q1
2024-01,Dumbbell Set,Sports,South,59,4014.85,5,3814.1,225032.08,35.75,80448.97,1,Q1
2024-01,Dumbbell Set,Sports,East,75,3876.49,0,3876.49,290736.91,33.23,96611.88,1,Q1
2024-01,Dumbbell Set,Sports,West,74,3871.39,0,3871.39,286482.95,32.02,91731.84,1,Q1
2024-01,Dumbbell Set,Sports,Central,56,4101.97,10,3691.77,206739.26,19.63,40582.92,1,Q1
2024-01,Protein Powder,Sports,North,124,2596.29,0,2596.29,321939.83,25.41,81804.91,1,Q1
2024-01,Protein Powder,Sports,South,140,2588.41,20,2070.73,289902.36,33.07,95870.71,1,Q1
2024-01,Protein Powder,Sports,East,142,2415.73,10,2174.16,308730.74,29.17,90056.76,1,Q1
2024-01,Protein Powder,Sports,West,131,2580.24,0,2580.24,338011.23,27.85,94136.13,1,Q1
2024-01,Protein Powder,Sports,Central,103,2492.73,0,2492.73,256751.67,20.38,52325.99,1,Q1
2024-02,Wireless Earbuds,Electronics,North,156,3540.77,10,3186.69,497123.68,29.67,147496.6,2,Q1
2024-02,Wireless Earbuds,Electronics,South,181,3463.97,0,3463.97,626979.25,35.37,221762.56,2,Q1
2024-02,Wireless Earbuds,Electronics,East,169,3628.67,0,3628.67,613244.43,37.4,229353.42,2,Q1
2024-02,Wireless Earbuds,Electronics,West,144,3608.49,5,3428.06,493641.27,37.86,186892.58,2,Q1
2024-02,Wireless Earbuds,Electronics,Central,131,3514.07,20,2811.26,368275.05,28.46,104811.08,2,Q1
2024-02,Smart Watch,Electronics,North,113,9139.92,5,8682.93,981170.78,30.55,299747.67,2,Q1
2024-02,Smart Watch,Electronics,South,101,9287.8,0,9287.8,938067.97,23.62,221571.65,2,Q1
2024-02,Smart Watch,Electronics,East,129,9279.96,5,8815.96,1137258.94,30.4,345726.72,2,Q1
2024-02,Smart Watch,Electronics,West,97,8774.47,5,8335.75,808567.61,25.07,202707.9,2,Q1
2024-02,Smart Watch,Electronics,Central,95,8695.0,20,6956.0,660820.21,37.72,249261.38,2,Q1
2024-02,Bluetooth Speaker,Electronics,North,155,2205.35,0,2205.35,341829.26,34.28,117179.07,2,Q1
2024-02,Bluetooth Speaker,Electronics,South,140,2139.65,15,1818.7,254618.06,34.45,87715.92,2,Q1
2024-02,Bluetooth Speaker,Electronics,East,174,2238.71,5,2126.77,370058.53,26.36,97547.43,2,Q1
2024-02,Bluetooth Speaker,Electronics,West,158,2263.4,0,2263.4,357616.88,18.53,66266.41,2,Q1
2024-02,Bluetooth Speaker,Electronics,Central,121,2253.63,20,1802.91,218151.63,21.01,45833.66,2,Q1
2024-02,Laptop Stand,Electronics,North,125,1286.62,20,1029.3,128662.22,34.84,44825.92,2,Q1
2024-02,Laptop Stand,Electronics,South,121,1295.75,5,1230.96,148946.07,23.47,34957.64,2,Q1
2024-02,Laptop Stand,Electronics,East,110,1336.9,10,1203.21,132353.29,37.99,50281.01,2,Q1
2024-02,Laptop Stand,Electronics,West,133,1304.76,10,1174.28,156179.83,36.9,57630.36,2,Q1
2024-02,Laptop Stand,Electronics,Central,115,1272.74,5,1209.11,139047.33,20.58,28615.94,2,Q1
2024-02,USB-C Hub,Electronics,North,181,1612.58,0,1612.58,291877.32,31.43,91737.04,2,Q1
2024-02,USB-C Hub,Electronics,South,149,1580.86,0,1580.86,235547.57,31.43,74032.6,2,Q1
2024-02,USB-C Hub,Electronics,East,168,1633.83,5,1552.14,260760.06,35.04,91370.33,2,Q1
2024-02,USB-C Hub,Electronics,West,154,1606.8,15,1365.78,210329.49,26.07,54832.9,2,Q1
2024-02,USB-C Hub,Electronics,Central,121,1538.72,10,1384.85,167566.81,30.41,50957.07,2,Q1
2024-02,Winter Jacket,Apparel,North,105,4493.39,0,4493.39,471806.35,18.29,86293.38,2,Q1
2024-02,Winter Jacket,Apparel,South,86,4632.08,0,4632.08,398359.1,26.75,106561.06,2,Q1
2024-02,Winter Jacket,Apparel,East,117,4543.17,5,4316.01,504973.36,33.67,170024.53,2,Q1
2024-02,Winter Jacket,Apparel,West,92,4643.92,15,3947.33,363154.4,36.99,134330.81,2,Q1
2024-02,Winter Jacket,Apparel,Central,76,4755.95,5,4518.15,343379.6,23.16,79526.72,2,Q1
2024-02,Running Shoes,Apparel,North,165,3425.69,5,3254.41,536976.94,24.58,131988.93,2,Q1
2024-02,Running Shoes,Apparel,South,158,3230.42,0,3230.42,510406.24,20.58,105041.6,2,Q1
2024-02,Running Shoes,Apparel,East,156,3207.13,0,3207.13,500312.3,30.82,154196.25,2,Q1
2024-02,Running Shoes,Apparel,West,144,3258.27,15,2769.53,398812.07,27.48,109593.56,2,Q1
2024-02,Running Shoes,Apparel,Central,151,3212.52,0,3212.52,485090.32,18.82,91294.0,2,Q1
2024-02,Yoga Pants,Apparel,North,189,1472.45,0,1472.45,278292.78,19.77,55018.48,2,Q1
2024-02,Yoga Pants,Apparel,South,168,1494.3,0,1494.3,251041.83,25.29,63488.48,2,Q1
2024-02,Yoga Pants,Apparel,East,220,1521.83,0,1521.83,334803.07,33.99,113799.56,2,Q1
2024-02,Yoga Pants,Apparel,West,207,1448.84,15,1231.52,254924.2,36.42,92843.39,2,Q1
2024-02,Yoga Pants,Apparel,Central,156,1472.24,10,1325.02,206702.94,32.97,68149.96,2,Q1
2024-02,Cap,Apparel,North,237,585.07,0,585.07,138662.07,27.69,38395.53,2,Q1
2024-02,Cap,Apparel,South,245,592.72,5,563.08,137955.19,32.95,45456.24,2,Q1
2024-02,Cap,Apparel,East,236,587.14,10,528.42,124707.85,35.9,44770.12,2,Q1
2024-02,Cap,Apparel,West,250,600.54,0,600.54,150134.72,26.95,40461.31,2,Q1
2024-02,Cap,Apparel,Central,227,586.66,0,586.66,133171.64,25.55,34025.35,2,Q1
2024-02,Formal Shirt,Apparel,North,98,1871.97,0,1871.97,183453.09,24.55,45037.73,2,Q1
2024-02,Formal Shirt,Apparel,South,92,1958.33,5,1860.41,171157.95,31.58,54051.68,2,Q1
2024-02,Formal Shirt,Apparel,East,131,1898.76,0,1898.76,248738.0,28.74,71487.3,2,Q1
2024-02,Formal Shirt,Apparel,West,112,1936.29,5,1839.47,206020.95,20.55,42337.31,2,Q1
2024-02,Formal Shirt,Apparel,Central,92,1878.2,5,1784.29,164154.63,29.42,48294.29,2,Q1
2024-02,Air Fryer,Home & Kitchen,North,72,7271.41,5,6907.84,497364.42,22.74,113100.67,2,Q1
2024-02,Air Fryer,Home & Kitchen,South,60,6804.63,0,6804.63,408277.73,21.21,86595.71,2,Q1
2024-02,Air Fryer,Home & Kitchen,East,72,6878.67,0,6878.67,495264.28,35.94,177997.98,2,Q1
2024-02,Air Fryer,Home & Kitchen,West,63,7012.72,5,6662.09,419711.56,37.65,158021.4,2,Q1
2024-02,Air Fryer,Home & Kitchen,Central,57,6941.81,20,5553.45,316546.41,35.31,111772.54,2,Q1
2024-02,Coffee Maker,Home & Kitchen,North,97,4215.74,0,4215.74,408926.58,31.37,128280.27,2,Q1
2024-02,Coffee Maker,Home & Kitchen,South,91,4318.52,5,4102.6,373336.22,23.6,88107.35,2,Q1
2024-02,Coffee Maker,Home & Kitchen,East,101,4191.37,0,4191.37,423328.18,26.51,112224.3,2,Q1
2024-02,Coffee Maker,Home & Kitchen,West,85,4210.41,0,4210.41,357884.81,30.21,108117.0,2,Q1
2024-02,Coffee Maker,Home & Kitchen,Central,71,4326.94,0,4326.94,307212.7,27.62,84852.15,2,Q1
2024-02,Blender,Home & Kitchen,North,108,2698.64,0,2698.64,291453.59,20.69,60301.75,2,Q1
2024-02,Blender,Home & Kitchen,South,84,2908.71,0,2908.71,244331.8,34.2,83561.48,2,Q1
2024-02,Blender,Home & Kitchen,East,103,2839.64,10,2555.68,263234.82,29.91,78733.53,2,Q1
2024-02,Blender,Home & Kitchen,West,101,2779.26,0,2779.26,280705.2,36.59,102710.03,2,Q1
2024-02,Blender,Home & Kitchen,Central,100,2903.13,0,2903.13,290312.88,32.62,94700.06,2,Q1
2024-02,Non-stick Pan Set,Home & Kitchen,North,146,1850.57,0,1850.57,270183.65,32.82,88674.27,2,Q1
2024-02,Non-stick Pan Set,Home & Kitchen,South,119,1950.93,0,1950.93,232160.74,33.91,78725.71,2,Q1
2024-02,Non-stick Pan Set,Home & Kitchen,East,123,1847.9,0,1847.9,227292.02,34.29,77938.43,2,Q1
2024-02,Non-stick Pan Set,Home & Kitchen,West,129,1902.5,0,1902.5,245423.03,35.54,87223.34,2,Q1
2024-02,Non-stick Pan Set,Home & Kitchen,Central,107,1947.1,5,1849.74,197922.49,25.54,50549.4,2,Q1
2024-02,Water Bottle,Home & Kitchen,North,282,687.89,10,619.1,174587.26,28.05,48971.73,2,Q1
2024-02,Water Bottle,Home & Kitchen,South,237,721.34,0,721.34,170958.58,28.87,49355.74,2,Q1
2024-02,Water Bottle,Home & Kitchen,East,335,705.95,0,705.95,236492.38,36.8,87029.2,2,Q1
2024-02,Water Bottle,Home & Kitchen,West,282,689.77,0,689.77,194514.55,33.88,65901.53,2,Q1
2024-02,Water Bottle,Home & Kitchen,Central,253,700.87,15,595.74,150722.34,33.77,50898.93,2,Q1
2024-02,Notebook Pack,Books & Stationery,North,375,491.48,0,491.48,184306.48,32.88,60599.97,2,Q1
2024-02,Notebook Pack,Books & Stationery,South,326,501.79,10,451.61,147225.18,35.54,52323.83,2,Q1
2024-02,Notebook Pack,Books & Stationery,East,418,511.82,0,511.82,213942.68,34.93,74730.18,2,Q1
2024-02,Notebook Pack,Books & Stationery,West,354,494.9,10,445.41,157675.05,21.0,33111.76,2,Q1
2024-02,Notebook Pack,Books & Stationery,Central,329,507.87,10,457.09,150380.99,30.82,46347.42,2,Q1
2024-02,Fountain Pen,Books & Stationery,North,163,902.07,0,902.07,147037.86,24.91,36627.13,2,Q1
2024-02,Fountain Pen,Books & Stationery,South,126,928.38,5,881.96,111126.58,26.02,28915.14,2,Q1
2024-02,Fountain Pen,Books & Stationery,East,159,931.17,0,931.17,148055.81,29.72,44002.19,2,Q1
2024-02,Fountain Pen,Books & Stationery,West,147,907.02,0,907.02,133331.32,35.44,47252.62,2,Q1
2024-02,Fountain Pen,Books & Stationery,Central,149,903.68,10,813.32,121184.08,36.45,44171.6,2,Q1
2024-02,Planner 2025,Books & Stationery,North,257,679.57,5,645.59,165917.01,30.13,49990.8,2,Q1
2024-02,Planner 2025,Books & Stationery,South,214,712.22,15,605.39,129553.17,36.51,47299.86,2,Q1
2024-02,Planner 2025,Books & Stationery,East,250,677.37,20,541.9,135474.45,34.78,47118.01,2,Q1
2024-02,Planner 2025,Books & Stationery,West,204,722.53,15,614.15,125287.31,28.38,35556.54,2,Q1
2024-02,Planner 2025,Books & Stationery,Central,213,693.35,0,693.35,147684.03,24.7,36477.96,2,Q1
2024-02,Sketch Set,Books & Stationery,North,132,1151.48,0,1151.48,151995.93,25.96,39458.14,2,Q1
2024-02,Sketch Set,Books & Stationery,South,110,1239.27,0,1239.27,136319.98,24.94,33998.2,2,Q1
2024-02,Sketch Set,Books & Stationery,East,136,1194.42,0,1194.42,162440.68,27.05,43940.2,2,Q1
2024-02,Sketch Set,Books & Stationery,West,103,1167.96,5,1109.56,114284.79,26.38,30148.33,2,Q1
2024-02,Sketch Set,Books & Stationery,Central,116,1185.8,5,1126.51,130675.25,30.65,40051.96,2,Q1
2024-02,Resistance Bands,Sports,North,247,809.45,0,809.45,199934.97,37.22,74415.8,2,Q1
2024-02,Resistance Bands,Sports,South,234,793.54,0,793.54,185689.01,37.94,70450.41,2,Q1
2024-02,Resistance Bands,Sports,East,303,805.1,0,805.1,243944.39,33.0,80501.65,2,Q1
2024-02,Resistance Bands,Sports,West,251,824.44,0,824.44,206935.35,21.81,45132.6,2,Q1
2024-02,Resistance Bands,Sports,Central,213,797.21,5,757.35,161316.36,19.31,31150.19,2,Q1
2024-02,Yoga Mat,Sports,North,226,1493.4,5,1418.73,320632.64,26.82,85993.67,2,Q1
2024-02,Yoga Mat,Sports,South,183,1506.15,0,1506.15,275625.83,21.64,59645.43,2,Q1
2024-02,Yoga Mat,Sports,East,243,1552.5,0,1552.5,377257.05,23.41,88315.88,2,Q1
2024-02,Yoga Mat,Sports,West,208,1488.06,0,1488.06,309515.52,21.12,65369.68,2,Q1
2024-02,Yoga Mat,Sports,Central,191,1518.06,0,1518.06,289949.11,22.44,65064.58,2,Q1
2024-02,Dumbbell Set,Sports,North,73,4053.99,0,4053.99,295941.41,20.08,59425.04,2,Q1
2024-02,Dumbbell Set,Sports,South,78,3896.16,10,3506.54,273510.43,22.76,62250.97,2,Q1
2024-02,Dumbbell Set,Sports,East,73,3916.84,10,3525.15,257336.1,35.11,90350.7,2,Q1
2024-02,Dumbbell Set,Sports,West,83,3966.11,10,3569.5,296268.19,22.1,65475.27,2,Q1
2024-02,Dumbbell Set,Sports,Central,64,4125.8,0,4125.8,264050.93,19.71,52044.44,2,Q1
2024-02,Protein Powder,Sports,North,136,2404.34,0,2404.34,326990.83,29.66,96985.48,2,Q1
2024-02,Protein Powder,Sports,South,132,2577.5,10,2319.75,306207.35,24.84,76061.91,2,Q1
2024-02,Protein Powder,Sports,East,145,2474.95,5,2351.2,340924.1,23.36,79639.87,2,Q1
2024-02,Protein Powder,Sports,West,147,2480.89,5,2356.85,346456.23,26.72,92573.1,2,Q1
2024-02,Protein Powder,Sports,Central,120,2588.65,10,2329.79,279574.72,20.8,58151.54,2,Q1
2024-03,Wireless Earbuds,Electronics,North,220,3495.48,15,2971.16,653655.09,34.0,222242.73,3,Q1
2024-03,Wireless Earbuds,Electronics,South,175,3365.33,0,3365.33,588932.68,28.83,169789.29,3,Q1
2024-03,Wireless Earbuds,Electronics,East,216,3431.23,0,3431.23,741145.23,34.7,257177.39,3,Q1
2024-03,Wireless Earbuds,Electronics,West,216,3506.19,0,3506.19,757337.3,23.45,177595.6,3,Q1
2024-03,Wireless Earbuds,Electronics,Central,145,3614.97,0,3614.97,524170.73,29.53,154787.62,3,Q1
2024-03,Smart Watch,Electronics,North,114,9038.0,10,8134.2,927299.19,34.59,320752.79,3,Q1
2024-03,Smart Watch,Electronics,South,101,8646.96,0,8646.96,873342.57,36.0,314403.33,3,Q1
2024-03,Smart Watch,Electronics,East,143,9069.13,5,8615.67,1232041.26,31.3,385628.91,3,Q1
2024-03,Smart Watch,Electronics,West,105,9297.34,5,8832.48,927410.01,25.66,237973.41,3,Q1
2024-03,Smart Watch,Electronics,Central,105,8672.85,0,8672.85,910649.43,32.76,298328.75,3,Q1
2024-03,Bluetooth Speaker,Electronics,North,144,2217.15,0,2217.15,319269.1,25.79,82339.5,3,Q1
2024-03,Bluetooth Speaker,Electronics,South,140,2173.61,10,1956.25,273874.85,23.94,65565.64,3,Q1
2024-03,Bluetooth Speaker,Electronics,East,176,2194.79,10,1975.31,347654.23,36.74,127728.16,3,Q1
2024-03,Bluetooth Speaker,Electronics,West,168,2148.85,0,2148.85,361007.19,23.25,83934.17,3,Q1
2024-03,Bluetooth Speaker,Electronics,Central,145,2120.09,5,2014.08,292041.96,29.94,87437.36,3,Q1
2024-03,Laptop Stand,Electronics,North,130,1327.15,0,1327.15,172529.92,19.5,33643.33,3,Q1
2024-03,Laptop Stand,Electronics,South,132,1298.53,10,1168.68,154265.54,26.7,41188.9,3,Q1
2024-03,Laptop Stand,Electronics,East,132,1332.16,10,1198.95,158260.74,31.89,50469.35,3,Q1
2024-03,Laptop Stand,Electronics,West,121,1308.38,0,1308.38,158313.59,19.83,31393.58,3,Q1
2024-03,Laptop Stand,Electronics,Central,132,1261.26,20,1009.01,133188.87,26.92,35854.44,3,Q1
2024-03,USB-C Hub,Electronics,North,162,1604.36,15,1363.71,220920.37,32.64,72108.41,3,Q1
2024-03,USB-C Hub,Electronics,South,177,1619.31,10,1457.38,257956.33,34.98,90233.12,3,Q1
2024-03,USB-C Hub,Electronics,East,173,1597.65,0,1597.65,276392.97,37.75,104338.35,3,Q1
